,crime,number,date,location,beat,neighborhood,npu,lat,long
434,LARCENY-NON VEHICLE,103001541,10/27/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
435,BURGLARY-NONRES,103001582,10/27/2010,1435 DONALD LEE HOLLOWELL PKWY NW,110,Grove Park,J,33.77179,-84.43521
436,AUTO THEFT,103001600,10/27/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
437,LARCENY-NON VEHICLE,103001666,10/27/2010,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212
438,AUTO THEFT,103001684,10/27/2010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
439,LARCENY-FROM VEHICLE,103001697,10/27/2010,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198
440,BURGLARY-RESIDENCE,103001710,10/27/2010,528 WINTON TER NE  ,603,Old Fourth Ward,M,33.76861,-84.36994
441,LARCENY-NON VEHICLE,103001740,10/27/2010,80 JESSE HILL JR DR SE ,510,Downtown,M,33.75168,-84.38198
442,LARCENY-FROM VEHICLE,103001812,10/27/2010,825 MARTIN L KING JR DR NW,102,Vine City,L,33.75488,-84.41378
443,BURGLARY-RESIDENCE,103001827,10/27/2010,2110 SOUTHWOOD LN SW;,412,Ben Hill Terrace,P,33.69643,-84.51885
444,LARCENY-NON VEHICLE,103001871,10/27/2010,607 PEACHTREE ST NE,509,Downtown,M,33.77096,-84.3844
445,BURGLARY-RESIDENCE,103001889,10/27/2010,717 LEE ST SW,401,West End,T,33.73516,-84.41421
446,LARCENY-NON VEHICLE,103002046,10/27/2010,116 PONCE DE LEON AVE NE,505,Midtown,E,33.77248,-84.38382
447,LARCENY-FROM VEHICLE,103002053,10/27/2010,MONROE DR NE / KANUGA ST NE,601,Virginia Highland,F,33.78234,-84.36813
448,LARCENY-NON VEHICLE,103002079,10/27/2010,695 NORTH AVE NE,603,Old Fourth Ward,M,33.77073,-84.3645
449,BURGLARY-RESIDENCE,103002087,10/27/2010,979 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68834,-84.35784
450,LARCENY-FROM VEHICLE,103002094,10/27/2010,889 PARSONS ST SW,101,Atlanta University Center,T,33.75099,-84.41669
451,LARCENY-FROM VEHICLE,103002095,10/27/2010,180 JACKSON ST NE ,604,Sweet Auburn,M,33.75929,-84.37628
452,LARCENY-FROM VEHICLE,103002146,10/27/2010,2165 CHESHIRE BRIDGE RD NE,213,Lindridge/Martin Manor,F,33.81341,-84.35347
453,AGG ASSAULT,103002160,10/27/2010,2524 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75285,-84.47033
454,BURGLARY-RESIDENCE,103002188,10/27/2010,1035 REUNION PL SW,412,Midwest Cascade,Q,33.7254,-84.52882
455,AUTO THEFT,103002227,10/27/2010,3911 CAMPBELLTON RD SW,412,Kings Forest,P,33.69289,-84.51602
456,LARCENY-FROM VEHICLE,103002231,10/27/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
457,ROBBERY-PEDESTRIAN,103002266,10/27/2010,101 DOGWOOD DR NW,112,Collier Heights,I,33.78257,-84.49293
458,LARCENY-FROM VEHICLE,103002274,10/27/2010,1132 TECHWOOD DR NW,501,Home Park,E,33.7855,-84.39273
459,AUTO THEFT,103002293,10/27/2010,339 MARIETTA ST NW,508,Downtown,M,33.76464,-84.39614
460,AUTO THEFT,103002301,10/27/2010,192 DEGRESS AVE NE,602,Inman Park,N,33.75939,-84.35245
461,LARCENY-FROM VEHICLE,103002325,10/27/2010,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786
462,BURGLARY-RESIDENCE,103002334,10/27/2010,2190 JERNIGAN DR SE,310,Lakewood,Z,33.69436,-84.37217
463,LARCENY-FROM VEHICLE,103002337,10/27/2010,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389
464,AGG ASSAULT,103002352,10/27/2010,3040 GRAND AVE SW,311,Hammond Park,X,33.67413,-84.40636
465,LARCENY-FROM VEHICLE,103002374,10/27/2010,700 CYPRESS ST NE,505,Midtown,E,33.77394,-84.3863
466,LARCENY-FROM VEHICLE,103002380,10/27/2010,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77914,-84.41116
467,LARCENY-NON VEHICLE,103002391,10/27/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
468,LARCENY-FROM VEHICLE,103002393,10/27/2010,788 MARIETTA ST NW,504,Marietta Street Artery,E,33.77347,-84.40449
469,LARCENY-FROM VEHICLE,103002398,10/27/2010,17 COURTLAND ST NE,510,Downtown,M,33.75495,-84.38417
470,AGG ASSAULT,103002402,10/27/2010,987 ASHBY GRV SW,104,Ashview Heights,T,33.75009,-84.41985
471,LARCENY-NON VEHICLE,103008011,10/27/2010,S TERM @6000 S TERMINAL PKWY,50,,,33.63915,-84.44264
472,AUTO THEFT,103008050,10/27/2010,NATIONAL S DECK @2250 RENTAL CAR CENTER PKWY,707,,,33.63978,-84.46221
473,AGG ASSAULT,103000051,10/27/2010,SAINT JAMES AVE NW / 1ST ST NW,109,Carey Park,G,33.78592,-84.46697
474,AGG ASSAULT,103000078,10/27/2010,1673 MARTIN L KING JR DR NW,104,Mozley Park,K,33.75179,-84.44189
475,BURGLARY-NONRES,103000084,10/27/2010,1575 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76391,-84.43929
476,LARCENY-FROM VEHICLE,103000110,10/27/2010,100 LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
477,AGG ASSAULT,103000131,10/27/2010,2315 CAMPBELLTON RD SW,409,Adams Park,R,33.70466,-84.46315
478,ROBBERY-PEDESTRIAN,103000135,10/27/2010,1187 WESTVIEW DR SW,104,Ashview Heights,T,33.7475,-84.42651
479,LARCENY-FROM VEHICLE,103000189,10/27/2010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
480,AGG ASSAULT,103000272,10/27/2010,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.72678,-84.4018
481,LARCENY-FROM VEHICLE,103000287,10/27/2010,191 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75945,-84.38595
482,AUTO THEFT,103000310,10/27/2010,559 GRANT ST SE,605,Grant Park,W,33.73932,-84.37659
483,BURGLARY-RESIDENCE,103000312,10/27/2010,405 FAIRBURN RD SW,407,Wildwood (NPU-H),H,33.74347,-84.5145
484,AGG ASSAULT,103000373,10/27/2010,367 BELGARDE PL SE,312,Orchard Knob,Z,33.66441,-84.37791
485,AGG ASSAULT,103000430,10/27/2010,1135 OAKLAND LN SW,403,Oakland City,S,33.71965,-84.42493
486,ROBBERY-PEDESTRIAN,103000449,10/27/2010,3781 MARTIN L KING JR DR SW,114,Old Gordon,H,33.76797,-84.51322
487,LARCENY-FROM VEHICLE,103000494,10/27/2010,1108 MONTREAT AVE.,402,Oakland City,S,33.72936,-84.424
488,ROBBERY-PEDESTRIAN,103000495,10/27/2010,1133 MCDANIEL ST SW,302,Pittsburgh,V,33.72398,-84.40185
489,ROBBERY-PEDESTRIAN,103000500,10/27/2010,1668 EASTLAND RD SE,612,East Atlanta,W,33.71898,-84.33038
490,LARCENY-FROM VEHICLE,103000508,10/27/2010,2300 MACON DR SW;,310,Swallow Circle/Baywood,Z,33.69163,-84.39097
491,AUTO THEFT,103000516,10/27/2010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
492,ROBBERY-PEDESTRIAN,103000518,10/27/2010,MCDONOUGH BLVD SE / PARK AVE SE,305,Chosewood Park,Y,33.71384,-84.37005
493,AUTO THEFT,103000535,10/27/2010,1880 MARKONE STREET NW ,107,Grove Park,J,33.76962,-84.44847
494,AUTO THEFT,103000548,10/27/2010,3460 KINGSBORO ROAD,210,Buckhead Heights,B,33.85019,-84.35765
495,AUTO THEFT,103000560,10/27/2010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
496,LARCENY-NON VEHICLE,103000568,10/27/2010,3540 N CAMP CREEK PKWY SW,414,,P,33.6681,-84.50267
497,AUTO THEFT,103000585,10/27/2010,1298 NORTH AVE NW,106,Bankhead,K,33.76778,-84.43034
498,AUTO THEFT,103000608,10/27/2010,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184
499,AUTO THEFT,103000620,10/27/2010,394 OAKLAND AVE SE,605,Grant Park,W,33.7439,-84.37465
500,LARCENY-FROM VEHICLE,103000621,10/27/2010,1039 HIGH POINT TER SW,305,High Point,Y,33.71707,-84.39449
501,LARCENY-FROM VEHICLE,103000654,10/27/2010,2138 FAULKNER RD NE,212,Lindridge/Martin Manor,F,33.81322,-84.36026
502,AUTO THEFT,103000657,10/27/2010,510 MUSE ST SW,401,Westview,T,33.74121,-84.43339
503,LARCENY-FROM VEHICLE,103000659,10/27/2010,1057 LAWTON AVE SW,402,Oakland City,S,33.72654,-84.42228
504,LARCENY-FROM VEHICLE,103000662,10/27/2010,3460 KINGSBORO ROAD,210,Buckhead Heights,B,33.85015,-84.35835
505,LARCENY-FROM VEHICLE,103000671,10/27/2010,656 PARK VILLAGE DR NE,602,Poncey-Highland,N,33.77248,-84.35866
506,LARCENY-NON VEHICLE,103000683,10/27/2010,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
507,AUTO THEFT,103000719,10/27/2010,2141 SPRINGDALE RD SW,309,Perkerson,X,33.69603,-84.41411
508,AUTO THEFT,103000748,10/27/2010,2283 CORONET WAY NW,201,,C,33.81786,-84.44681
509,BURGLARY-RESIDENCE,103000788,10/27/2010,913 ORMEWOOD TER SE,607,Ormewood Park,W,33.72943,-84.35855
510,AUTO THEFT,103000801,10/27/2010,46 S PRADO NE,502,Ansley Park,E,33.79084,-84.37697
511,BURGLARY-NONRES,103000822,10/27/2010,1562 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.7437,-84.43859
512,LARCENY-FROM VEHICLE,103000834,10/27/2010,655 GREEN ST,207,Berkeley Park,D,33.79299,-84.40941
513,LARCENY-FROM VEHICLE,103000858,10/27/2010,300 PEACHTREE ST NE,508,Downtown,M,33.76293,-84.38714
514,LARCENY-FROM VEHICLE,103000884,10/27/2010,953 WOODLAND AVE SE,607,Ormewood Park,W,33.72844,-84.35246
515,LARCENY-NON VEHICLE,103000911,10/27/2010,2229 DOLTON DR,204,Bolton,D,33.81487,-84.44024
516,BURGLARY-RESIDENCE,103000930,10/27/2010,55 STAFFORD STREET NW ,105,Hunter Hills,K,33.7564,-84.42556
517,AUTO THEFT,103000935,10/27/2010,1572 HARDEE ST NE,609,Edgewood,O,33.75546,-84.33644
518,ROBBERY-COMMERCIAL,103000936,10/27/2010,1715 HOWELL MILL RD.,204,Berkeley Park,D,33.80089,-84.4157
519,BURGLARY-RESIDENCE,103000950,10/27/2010,1324 LIBERTY PKWY NW,204,Bolton,D,33.81785,-84.4406
520,BURGLARY-NONRES,103000968,10/27/2010,1099 HENDON RD SE,313,South River Gardens,Z,33.65576,-84.35362
521,LARCENY-NON VEHICLE,103000982,10/27/2010,4035 SOUTHWOOD CIR SW,412,Ben Hill Terrace,P,33.69583,-84.51989
522,BURGLARY-RESIDENCE,103001018,10/27/2010,2528 RYNE ST NW,109,Center Hill,J,33.7675,-84.46976
523,AUTO THEFT,103001042,10/27/2010,207 HARWELL PL NW,112,Collier Heights,I,33.78154,-84.49301
524,AUTO THEFT,103001048,10/27/2010,1665 WESTLAKE COURT NW ,105,West Lake,J,33.75932,-84.44247
525,BURGLARY-RESIDENCE,103001056,10/27/2010,1105 LAKESIDE VILLAGE DRIVE SE,611,The Villages at East Lake,O,33.74698,-84.31813
526,AGG ASSAULT,103001072,10/27/2010,177 ALYSON CT SE;,312,Glenrose Heights,Z,33.67137,-84.38539
527,LARCENY-NON VEHICLE,103001073,10/27/2010,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
528,BURGLARY-RESIDENCE,103001085,10/27/2010,645 BOLTON RD NW,114,Fairburn Heights,H,33.77142,-84.50774
529,LARCENY-NON VEHICLE,103001088,10/27/2010,97 CLAY ST SE,610,Kirkwood,O,33.7506,-84.3307
530,LARCENY-FROM VEHICLE,103001125,10/27/2010,1305 OAKLAND DR SW @OAKLAND CITY PARK,403,Oakland City,S,33.71896,-84.42892
531,LARCENY-FROM VEHICLE,103001139,10/27/2010,815 VIRGINIA CIRLCE ,601,Virginia Highland,F,33.78068,-84.36063
532,LARCENY-NON VEHICLE,103001179,10/27/2010,950 W PEACHTREE ST NW,503,Midtown,E,33.7805,-84.38752
533,AUTO THEFT,103001182,10/27/2010,1422 CHATTAHOOCEE AVE,203,Hills Park,D,33.80672,-84.43462
534,AUTO THEFT,102800447,10/27/2010,2053 TIGER FLOWERS ,108,Dixie Hills,J,33.76038,-84.45451
535,LARCENY-FROM VEHICLE,102962525,10/26/2010,695 NORTH AVE NE,603,Old Fourth Ward,M,33.77073,-84.3645
536,LARCENY-FROM VEHICLE,102990002,10/26/2010,437 MEMORIAL DR SE,605,Grant Park,W,33.74639,-84.37285
537,ROBBERY-PEDESTRIAN,102990057,10/26/2010,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
538,BURGLARY-NONRES,102990080,10/26/2010,2596 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77539,-84.47199
539,LARCENY-NON VEHICLE,102990174,10/26/2010,PIEDMONT AVE NE / 10TH ST NE,503,Midtown,E,33.78178,-84.38047
540,LARCENY-NON VEHICLE,102990297,10/26/2010,2325 MARIETTA BLVD NW,201,,C,33.82065,-84.45274
541,BURGLARY-RESIDENCE,102990323,10/26/2010,1700 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77328,-84.44342
542,LARCENY-FROM VEHICLE,102990340,10/26/2010,WILLIAMS ST NW / W PEACHTREE PL NW,508,Downtown,M,33.76403,-84.39036
543,LARCENY-FROM VEHICLE,102990401,10/26/2010,BROAD ST NW / WALTON ST NW,508,Downtown,M,33.75544,-84.38979
544,ROBBERY-PEDESTRIAN,102990449,10/26/2010,766 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73417,-84.41746
545,AUTO THEFT,102990455,10/26/2010,915 ROSEDALE RD NE,601,Virginia Highland,F,33.77917,-84.34827
546,LARCENY-FROM VEHICLE,102990473,10/26/2010,943 PEACHTREE ST NE,503,Midtown,E,33.7806,-84.3832
547,LARCENY-FROM VEHICLE,102990474,10/26/2010,500 10TH ST,502,Midtown,E,33.78174,-84.36869
548,LARCENY-NON VEHICLE,102990475,10/26/2010,54 PEACHTREE ST SW,511,Downtown,M,33.75286,-84.3912
549,AUTO THEFT,102990477,10/26/2010,500 10TH ST NE,502,,E,33.78186,-84.373
550,BURGLARY-RESIDENCE,102990495,10/26/2010,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.70979,-84.35849
551,LARCENY-FROM VEHICLE,102990560,10/26/2010,970 GRANT COVE PL SE,605,Grant Park,W,33.72781,-84.37721
552,LARCENY-FROM VEHICLE,102990608,10/26/2010,3781 SOUTHSIDE INDUSTRIAL CT SE,313,Blair Villa/Poole Creek,Z,33.64941,-84.37792
553,BURGLARY-RESIDENCE,102990617,10/26/2010,43 WYMAN ST NE,609,Kirkwood,O,33.75468,-84.33284
554,LARCENY-FROM VEHICLE,102990643,10/26/2010,388 VALLEY BROOK DR,209,North Buckhead,B,33.87733,-84.37466
555,LARCENY-FROM VEHICLE,102990682,10/26/2010,3652 TAMPA TRL SW,414,Tampa Park,P,33.67861,-84.50786
556,LARCENY-FROM VEHICLE,102990696,10/26/2010,1031 AUSTIN AVE NE,602,Inman Park,N,33.76227,-84.35396
557,LARCENY-FROM VEHICLE,102990713,10/26/2010,737 WOODLAND AVE SE,607,Ormewood Park,W,33.73428,-84.35164
558,BURGLARY-RESIDENCE,102990725,10/26/2010,1703 STANTON RD SW,408,,R,33.70855,-84.44401
559,LARCENY-FROM VEHICLE,102990732,10/26/2010,556 PAINES AVE NW,103,English Avenue,L,33.76997,-84.41476
560,LARCENY-NON VEHICLE,102990735,10/26/2010,2026 ARLINGTON CIR NW ,107,Grove Park,J,33.77072,-84.4533
561,LARCENY-FROM VEHICLE,102990741,10/26/2010,3833 PRINCETON LAKES CT.,414,Princeton Lakes,P,33.65648,-84.51231
562,LARCENY-FROM VEHICLE,102990755,10/26/2010,524 PEEPLES ST SW,401,West End,T,33.74059,-84.4202
563,LARCENY-FROM VEHICLE,102990794,10/26/2010,965 CUNNINGHAM PL. SW,104,Harris Chiles,T,33.74333,-84.41964
564,AUTO THEFT,102990795,10/26/2010,1631 STANTON RD SW,408,,R,33.71076,-84.4438
565,AGG ASSAULT,102990815,10/26/2010,214 THORNTON ST SW,307,Joyland,Y,33.71155,-84.39594
566,LARCENY-FROM VEHICLE,102990834,10/26/2010,2198 VENETIAN DR SW,409,Adams Park,R,33.71533,-84.46035
567,BURGLARY-RESIDENCE,102990876,10/26/2010,31 GOULD ST SE;,307,Lakewood Heights,Y,33.70702,-84.37718
568,LARCENY-FROM VEHICLE,102990887,10/26/2010,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.70979,-84.35849
569,LARCENY-FROM VEHICLE,102990927,10/26/2010,794 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76743,-84.36176
570,AUTO THEFT,102990957,10/26/2010,2455 ABNER PL NW,110,Carver Hills,G,33.80007,-84.46711
571,LARCENY-NON VEHICLE,102990967,10/26/2010,386 NORTH AVE NE,603,Old Fourth Ward,M,33.77154,-84.37445
572,LARCENY-NON VEHICLE,102991033,10/26/2010,501  HARPER RD SE,310,Lakewood,Z,33.69664,-84.37259
573,AGG ASSAULT,102991042,10/26/2010,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996
574,LARCENY-NON VEHICLE,102991066,10/26/2010,219 SUNSET AVE NW,102,Vine City,L,33.76063,-84.4097
575,LARCENY-NON VEHICLE,102991077,10/26/2010,GARNETT ST SW / PRYOR ST SW,512,Downtown,M,33.74809,-84.39358
576,LARCENY-FROM VEHICLE,102991109,10/26/2010,112 BEVERLY RD NE,502,Ansley Park,E,33.79704,-84.38374
577,BURGLARY-RESIDENCE,102991110,10/26/2010,89 FORT ST NE,604,Sweet Auburn,M,33.75688,-84.37782
578,BURGLARY-RESIDENCE,102991123,10/26/2010,1989 PHILLIPS DR SE,308,Thomasville Heights,Z,33.69949,-84.354
579,LARCENY-NON VEHICLE,102991169,10/26/2010,1130 MORELAND AVE SE,607,East Atlanta,W,33.7235,-84.34893
580,BURGLARY-NONRES,102991192,10/26/2010,2588 ETHRIDGE DR,113,Carey Park,G,33.78701,-84.4722
581,BURGLARY-RESIDENCE,102991198,10/26/2010,3437 HOGAN RD SW,414,Ben Hill Forest,P,33.67633,-84.50167
582,LARCENY-NON VEHICLE,102991271,10/26/2010,55 MCDONOUGH BLVD SE,305,South Atlanta,Y,33.72024,-84.38654
583,LARCENY-NON VEHICLE,102991304,10/26/2010,388 LUCKIE ST NW,504,Downtown,M,33.76516,-84.3964
584,LARCENY-NON VEHICLE,102991309,10/26/2010,2799 PIEDMONT RD NE,211,Peachtree Park,B,33.83047,-84.36763
585,AGG ASSAULT,102991320,10/26/2010,500 NORTHSIDE CIRCLE,207,Loring Heights,E,33.79724,-84.40668
586,BURGLARY-RESIDENCE,102991344,10/26/2010,177 MOURY AVE SW,305,The Villages at Carver,Y,33.71348,-84.39052
587,LARCENY-NON VEHICLE,102991350,10/26/2010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
588,LARCENY-NON VEHICLE,102991368,10/26/2010,421 MORELAND AVE NE,608,Candler Park,N,33.76598,-84.34896
589,AUTO THEFT,102991393,10/26/2010,555 MCDANIEL ST SW,303,Mechanicsville,V,33.73814,-84.40163
590,BURGLARY-RESIDENCE,102991398,10/26/2010,1675 WILLIS MILL RD SW,409,Southwest,R,33.71028,-84.47058
591,LARCENY-NON VEHICLE,102991403,10/26/2010,84 WALTON ST,508,Downtown,M,33.75672,-84.39123
592,LARCENY-NON VEHICLE,102991404,10/26/2010,1870 CAMPBELLTON RD SW,408,,R,33.70939,-84.44964
593,BURGLARY-RESIDENCE,102991406,10/26/2010,1271 CAHABA DR SW,408,Venetian Hills,S,33.72011,-84.44867
594,LARCENY-NON VEHICLE,102991439,10/26/2010,388 LUCKIE ST NW,504,Downtown,M,33.76516,-84.3964
595,LARCENY-NON VEHICLE,102991445,10/26/2010,1014 WASHINGTON HEIGHTS TER NW,105,Washington Park,K,33.76056,-84.42097
596,AUTO THEFT,102991483,10/26/2010,MEMORIAL DR SE / WARREN ST SE,610,,,33.74741,-84.32628
597,LARCENY-FROM VEHICLE,102991536,10/26/2010,1579 MONROE DR NE,213,Piedmont Heights,F,33.79819,-84.36974
598,AUTO THEFT,102991557,10/26/2010,1257 MARIETTA BLVD NW,203,Blandtown,D,33.78917,-84.42803
599,BURGLARY-RESIDENCE,102991559,10/26/2010,501 CONNELL AVE SW,309,Perkerson,X,33.68327,-84.40662
600,AUTO THEFT,102991562,10/26/2010,61 FAIRBURN RD SW,407,Adamsville,H,33.75613,-84.50579
601,LARCENY-NON VEHICLE,102991563,10/26/2010,185 CENTRAL  AVE SW,512,Downtown,M,33.7499,-84.39058
602,AUTO THEFT,102991619,10/26/2010,243 MCDONOUGH BLVD. SW,305,South Atlanta,Y,33.71733,-84.38077
603,LARCENY-NON VEHICLE,102991627,10/26/2010,1856 PIEDMONT AVE NE,212,Piedmont Heights,F,33.80678,-84.36669
604,LARCENY-FROM VEHICLE,102991629,10/26/2010,1820 MARY DELL DR SE ; SOUTH METRO SCHOOL,612,East Atlanta,W,33.72385,-84.32906
605,BURGLARY-RESIDENCE,102991688,10/26/2010,2235 1ST AVE NE,610,Kirkwood,O,33.75494,-84.31439
606,LARCENY-FROM VEHICLE,102991702,10/26/2010,1661 MERTON RD NE,213,Morningside/Lenox Park,F,33.79992,-84.35525
607,AGG ASSAULT,102991731,10/26/2010,1659 NEKOMA ST NW,107,Grove Park,J,33.76703,-84.44214
608,LARCENY-FROM VEHICLE,102991741,10/26/2010,1820 MARY DELL DR SE,612,East Atlanta,W,33.72385,-84.32906
609,LARCENY-NON VEHICLE,102991771,10/26/2010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
610,BURGLARY-RESIDENCE,102991775,10/26/2010,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631
611,BURGLARY-RESIDENCE,102991780,10/26/2010,2557 PRESTON VIEW CT SW,310,Browns Mill Park,Z,33.6869,-84.39238
612,BURGLARY-RESIDENCE,102991803,10/26/2010,78 ADAIR AVE SE,307,Lakewood Heights,Y,33.70644,-84.38572
613,AUTO THEFT,102991804,10/26/2010,3099 PANTHER TRL SW @THERRELL HIGH,409,Southwest,R,33.69931,-84.48914
614,LARCENY-FROM VEHICLE,102991816,10/26/2010,21 ELLIS ST NE,510,Downtown,M,33.75833,-84.38681
615,BURGLARY-RESIDENCE,102991840,10/26/2010,1690 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72665,-84.44342
616,LARCENY-FROM VEHICLE,102991863,10/26/2010,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824,-84.36521
617,BURGLARY-RESIDENCE,102991873,10/26/2010,537 OLIVER ST NW,103,English Avenue,L,33.76944,-84.41523
618,BURGLARY-RESIDENCE,102991883,10/26/2010,875 HANK AARON DR SW,304,Peoplestown,V,33.73065,-84.38805
619,BURGLARY-RESIDENCE,102991884,10/26/2010,272 HOWELL TER SW,407,Adamsville,H,33.75086,-84.50432
620,BURGLARY-RESIDENCE,102991897,10/26/2010,509 LINDBERGH PL NE,211,Lindbergh/Morosgo,B,33.81913,-84.37202
621,LARCENY-NON VEHICLE,102991910,10/26/2010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
622,LARCENY-NON VEHICLE,102991936,10/26/2010,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.7734,-84.35467
623,LARCENY-NON VEHICLE,102991955,10/26/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
624,LARCENY-FROM VEHICLE,102991970,10/26/2010,SPRING ST SW / TRINITY AVE SW,507,Castleberry Hill,M,33.7506,-84.39706
625,LARCENY-NON VEHICLE,102991986,10/26/2010,1133 EUCLID AVE NE,602,Inman Park,N,33.76451,-84.35
626,LARCENY-NON VEHICLE,102991993,10/26/2010,3500 PEACHTREE ROAD,208,North Buckhead,B,33.85302,-84.36278
627,AGG ASSAULT,102992041,10/26/2010,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68149,-84.37152
628,LARCENY-FROM VEHICLE,102992047,10/26/2010,180 JACKSON,604,Sweet Auburn,M,33.75769,-84.37433
629,LARCENY-FROM VEHICLE,102992080,10/26/2010,12TH ST NE / PIEDMONT AVE NE,502,Midtown,E,33.78331,-84.37958
630,AUTO THEFT,102992095,10/26/2010,1696 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70781,-84.37988
631,LARCENY-FROM VEHICLE,102992126,10/26/2010, 935 MARIETTA STREET SW,504,Marietta Street Artery,E,33.77795,-84.40849
632,LARCENY-NON VEHICLE,102992128,10/26/2010,1440 JONESBORO RD SE,305,South Atlanta,Y,33.71537,-84.38312
633,LARCENY-NON VEHICLE,102992129,10/26/2010,411 CLEVELAND AVE SW,309,Perkerson,X,33.68145,-84.40305
634,AUTO THEFT,102992150,10/26/2010,2838 BROWNTOWN RD NW,113,Bolton Hills,G,33.80275,-84.48165
635,LARCENY-NON VEHICLE,102992215,10/26/2010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
636,AGG ASSAULT,102992222,10/26/2010,1519 PRYOR RD SW,307,Joyland,Y,33.71403,-84.3939
637,BURGLARY-RESIDENCE,102992232,10/26/2010,1975 ALISON CT SW,410,Campbellton Road,R,33.70081,-84.45327
638,LARCENY-FROM VEHICLE,102992304,10/26/2010,3280 PEACHTREE ROAD,208,North Buckhead,B,33.84443,-84.3711
639,ROBBERY-PEDESTRIAN,102992310,10/26/2010,162 CHAPPELL RD NW,105,Hunter Hills,K,33.75918,-84.43368
640,AUTO THEFT,102992315,10/26/2010,198 MITCHELL ST SW,512,Downtown,M,33.75166,-84.39433
641,LARCENY-NON VEHICLE,102992374,10/26/2010,AUBURN AVE NE / PIEDMONT AVE NE,510,Downtown,M,33.75555,-84.38225
642,LARCENY-FROM VEHICLE,102992376,10/26/2010,JESSE HILL JR DR/IRWIN ST,511,Downtown,M,33.74876,-84.38606
643,AUTO THEFT,102992380,10/26/2010,472 DECKNER AVE SW,301,Capitol View Manor,X,33.71456,-84.40318
644,LARCENY-FROM VEHICLE,102992407,10/26/2010,LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
645,LARCENY-FROM VEHICLE,102992434,10/26/2010,1270 W PEACHTREE ST NW,502,Midtown,E,33.78937,-84.3882
646,LARCENY-NON VEHICLE,102992445,10/26/2010,2900 CAMPBELLTON RD SW,409,Southwest,R,33.69761,-84.48336
647,LARCENY-FROM VEHICLE,102992450,10/26/2010,JOSEPH E LOWERY BLVD NW / JOSEPH E BOONE BLVD NW,105,Washington Park,K,33.76347,-84.41747
648,AUTO THEFT,102992467,10/26/2010,132 10TH ST NE,503,Midtown,E,33.78222,-84.3829
649,BURGLARY-RESIDENCE,102992474,10/26/2010,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671
650,LARCENY-NON VEHICLE,102992478,10/26/2010,565 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74651,-84.40675
